Date,Tenant,Passed,Failed
2024-01-30,Tenant 1,101,6
2024-01-30,Tenant 2,119,6
2024-01-30,Tenant 3,103,5
2024-01-29,Tenant 1,130,20
2024-01-29,Tenant 2,106,19
2024-01-29,Tenant 3,124,19
2024-01-28,Tenant 1,119,15
2024-01-28,Tenant 2,130,14
2024-01-28,Tenant 3,103,9
2024-01-27,Tenant 1,125,17
2024-01-27,Tenant 2,129,14
2024-01-27,Tenant 3,117,18
2024-01-26,Tenant 1,133,16
2024-01-26,Tenant 2,129,13
2024-01-26,Tenant 3,106,11
2024-01-25,Tenant 1,111,8
2024-01-25,Tenant 2,107,10
2024-01-25,Tenant 3,121,4
2024-01-24,Tenant 1,132,10
2024-01-24,Tenant 2,101,15
2024-01-24,Tenant 3,100,14
2024-01-23,Tenant 1,120,9
2024-01-23,Tenant 2,107,20
2024-01-23,Tenant 3,133,3
2024-01-22,Tenant 1,122,19
2024-01-22,Tenant 2,132,8
2024-01-22,Tenant 3,115,18
2024-01-21,Tenant 1,131,6
2024-01-21,Tenant 2,108,17
2024-01-21,Tenant 3,97,18
2024-01-20,Tenant 1,106,12
2024-01-20,Tenant 2,102,8
2024-01-20,Tenant 3,122,6
2024-01-19,Tenant 1,122,7
2024-01-19,Tenant 2,103,3
2024-01-19,Tenant 3,122,18
2024-01-18,Tenant 1,129,8
2024-01-18,Tenant 2,119,4
2024-01-18,Tenant 3,99,3
2024-01-17,Tenant 1,126,17
2024-01-17,Tenant 2,107,3
2024-01-17,Tenant 3,129,3
2024-01-16,Tenant 1,100,19
2024-01-16,Tenant 2,132,5
2024-01-16,Tenant 3,131,12
2024-01-15,Tenant 1,115,16
2024-01-15,Tenant 2,95,15
2024-01-15,Tenant 3,95,19
2024-01-14,Tenant 1,122,10
2024-01-14,Tenant 2,97,20
2024-01-14,Tenant 3,99,19
2024-01-13,Tenant 1,131,16
2024-01-13,Tenant 2,133,8
2024-01-13,Tenant 3,128,20
2024-01-12,Tenant 1,121,4
2024-01-12,Tenant 2,118,17
2024-01-12,Tenant 3,111,7
2024-01-11,Tenant 1,104,19
2024-01-11,Tenant 2,114,7
2024-01-11,Tenant 3,96,15
2024-01-10,Tenant 1,117,18
2024-01-10,Tenant 2,110,10
2024-01-10,Tenant 3,98,5
2024-01-09,Tenant 1,121,20
2024-01-09,Tenant 2,112,12
2024-01-09,Tenant 3,95,7
2024-01-08,Tenant 1,128,19
2024-01-08,Tenant 2,121,11
2024-01-08,Tenant 3,116,17
2024-01-07,Tenant 1,111,6
2024-01-07,Tenant 2,129,17
2024-01-07,Tenant 3,120,16
2024-01-06,Tenant 1,120,16
2024-01-06,Tenant 2,117,16
2024-01-06,Tenant 3,129,17
2024-01-05,Tenant 1,122,12
2024-01-05,Tenant 2,133,14
2024-01-05,Tenant 3,107,6
2024-01-04,Tenant 1,112,17
2024-01-04,Tenant 2,116,4
2024-01-04,Tenant 3,113,12
2024-01-03,Tenant 1,120,4
2024-01-03,Tenant 2,127,8
2024-01-03,Tenant 3,98,13
2024-01-02,Tenant 1,97,10
2024-01-02,Tenant 2,118,8
2024-01-02,Tenant 3,98,17
2024-01-01,Tenant 1,124,8
2024-01-01,Tenant 2,105,10
2024-01-01,Tenant 3,99,8
