Date,Tenant,Passed,Failed
2024-01-30,Tenant 1,105,6
2024-01-30,Tenant 2,104,7
2024-01-30,Tenant 3,129,18
2024-01-29,Tenant 1,133,7
2024-01-29,Tenant 2,107,5
2024-01-29,Tenant 3,114,18
2024-01-28,Tenant 1,113,19
2024-01-28,Tenant 2,113,14
2024-01-28,Tenant 3,122,16
2024-01-27,Tenant 1,110,7
2024-01-27,Tenant 2,119,6
2024-01-27,Tenant 3,133,15
2024-01-26,Tenant 1,125,7
2024-01-26,Tenant 2,105,20
2024-01-26,Tenant 3,104,14
2024-01-25,Tenant 1,101,16
2024-01-25,Tenant 2,103,20
2024-01-25,Tenant 3,99,7
2024-01-24,Tenant 1,95,19
2024-01-24,Tenant 2,98,6
2024-01-24,Tenant 3,133,12
2024-01-23,Tenant 1,97,15
2024-01-23,Tenant 2,122,10
2024-01-23,Tenant 3,97,15
2024-01-22,Tenant 1,119,3
2024-01-22,Tenant 2,126,15
2024-01-22,Tenant 3,115,13
2024-01-21,Tenant 1,129,20
2024-01-21,Tenant 2,125,3
2024-01-21,Tenant 3,117,13
2024-01-20,Tenant 1,126,18
2024-01-20,Tenant 2,106,10
2024-01-20,Tenant 3,120,10
2024-01-19,Tenant 1,130,19
2024-01-19,Tenant 2,114,15
2024-01-19,Tenant 3,123,15
2024-01-18,Tenant 1,112,7
2024-01-18,Tenant 2,104,20
2024-01-18,Tenant 3,95,20
2024-01-17,Tenant 1,105,19
2024-01-17,Tenant 2,128,11
2024-01-17,Tenant 3,115,18
2024-01-16,Tenant 1,99,7
2024-01-16,Tenant 2,117,7
2024-01-16,Tenant 3,104,19
2024-01-15,Tenant 1,103,16
2024-01-15,Tenant 2,107,6
2024-01-15,Tenant 3,134,4
2024-01-14,Tenant 1,133,4
2024-01-14,Tenant 2,106,3
2024-01-14,Tenant 3,117,17
2024-01-13,Tenant 1,96,13
2024-01-13,Tenant 2,128,8
2024-01-13,Tenant 3,124,17
2024-01-12,Tenant 1,132,3
2024-01-12,Tenant 2,124,12
2024-01-12,Tenant 3,123,6
2024-01-11,Tenant 1,104,19
2024-01-11,Tenant 2,128,8
2024-01-11,Tenant 3,105,17
2024-01-10,Tenant 1,125,13
2024-01-10,Tenant 2,98,10
2024-01-10,Tenant 3,126,5
2024-01-09,Tenant 1,113,7
2024-01-09,Tenant 2,116,8
2024-01-09,Tenant 3,106,16
2024-01-08,Tenant 1,108,15
2024-01-08,Tenant 2,120,17
2024-01-08,Tenant 3,124,13
2024-01-07,Tenant 1,95,10
2024-01-07,Tenant 2,116,16
2024-01-07,Tenant 3,118,4
2024-01-06,Tenant 1,101,5
2024-01-06,Tenant 2,112,8
2024-01-06,Tenant 3,119,7
2024-01-05,Tenant 1,133,19
2024-01-05,Tenant 2,119,19
2024-01-05,Tenant 3,104,5
2024-01-04,Tenant 1,130,17
2024-01-04,Tenant 2,102,10
2024-01-04,Tenant 3,131,8
2024-01-03,Tenant 1,100,7
2024-01-03,Tenant 2,100,18
2024-01-03,Tenant 3,124,11
2024-01-02,Tenant 1,131,6
2024-01-02,Tenant 2,96,13
2024-01-02,Tenant 3,100,19
2024-01-01,Tenant 1,96,17
2024-01-01,Tenant 2,120,15
2024-01-01,Tenant 3,120,6
