Date,Tenant,Passed,Failed
2024-01-30,Tenant 1,133,17
2024-01-30,Tenant 2,102,9
2024-01-30,Tenant 3,113,13
2024-01-29,Tenant 1,105,6
2024-01-29,Tenant 2,134,5
2024-01-29,Tenant 3,116,4
2024-01-28,Tenant 1,118,14
2024-01-28,Tenant 2,124,8
2024-01-28,Tenant 3,96,3
2024-01-27,Tenant 1,106,14
2024-01-27,Tenant 2,119,19
2024-01-27,Tenant 3,121,12
2024-01-26,Tenant 1,122,18
2024-01-26,Tenant 2,109,17
2024-01-26,Tenant 3,97,7
2024-01-25,Tenant 1,101,11
2024-01-25,Tenant 2,133,20
2024-01-25,Tenant 3,98,16
2024-01-24,Tenant 1,103,4
2024-01-24,Tenant 2,114,17
2024-01-24,Tenant 3,101,14
2024-01-23,Tenant 1,102,17
2024-01-23,Tenant 2,129,16
2024-01-23,Tenant 3,111,6
2024-01-22,Tenant 1,134,6
2024-01-22,Tenant 2,96,8
2024-01-22,Tenant 3,98,20
2024-01-21,Tenant 1,120,14
2024-01-21,Tenant 2,128,12
2024-01-21,Tenant 3,130,16
2024-01-20,Tenant 1,125,18
2024-01-20,Tenant 2,109,10
2024-01-20,Tenant 3,108,10
2024-01-19,Tenant 1,115,18
2024-01-19,Tenant 2,112,17
2024-01-19,Tenant 3,118,15
2024-01-18,Tenant 1,123,17
2024-01-18,Tenant 2,95,9
2024-01-18,Tenant 3,103,3
2024-01-17,Tenant 1,102,13
2024-01-17,Tenant 2,111,10
2024-01-17,Tenant 3,129,5
2024-01-16,Tenant 1,127,7
2024-01-16,Tenant 2,133,11
2024-01-16,Tenant 3,122,9
2024-01-15,Tenant 1,103,10
2024-01-15,Tenant 2,106,4
2024-01-15,Tenant 3,127,18
2024-01-14,Tenant 1,117,7
2024-01-14,Tenant 2,129,14
2024-01-14,Tenant 3,134,5
2024-01-13,Tenant 1,95,5
2024-01-13,Tenant 2,131,17
2024-01-13,Tenant 3,108,5
2024-01-12,Tenant 1,95,7
2024-01-12,Tenant 2,120,16
2024-01-12,Tenant 3,133,11
2024-01-11,Tenant 1,109,17
2024-01-11,Tenant 2,120,12
2024-01-11,Tenant 3,107,9
2024-01-10,Tenant 1,126,6
2024-01-10,Tenant 2,124,7
2024-01-10,Tenant 3,117,9
2024-01-09,Tenant 1,109,13
2024-01-09,Tenant 2,123,6
2024-01-09,Tenant 3,107,9
2024-01-08,Tenant 1,116,4
2024-01-08,Tenant 2,100,14
2024-01-08,Tenant 3,114,13
2024-01-07,Tenant 1,122,9
2024-01-07,Tenant 2,127,3
2024-01-07,Tenant 3,121,15
2024-01-06,Tenant 1,97,9
2024-01-06,Tenant 2,100,10
2024-01-06,Tenant 3,121,11
2024-01-05,Tenant 1,131,3
2024-01-05,Tenant 2,118,17
2024-01-05,Tenant 3,126,11
2024-01-04,Tenant 1,106,9
2024-01-04,Tenant 2,96,5
2024-01-04,Tenant 3,131,19
2024-01-03,Tenant 1,111,19
2024-01-03,Tenant 2,96,4
2024-01-03,Tenant 3,122,7
2024-01-02,Tenant 1,126,3
2024-01-02,Tenant 2,95,4
2024-01-02,Tenant 3,120,8
2024-01-01,Tenant 1,126,6
2024-01-01,Tenant 2,105,19
2024-01-01,Tenant 3,132,7
